AppID,Name,Release date,Price,Positive,Negative,Categories,Genres,Tags,Rating
586960,Upside Down,"Feb 14, 2017",16.99,552,120,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Family Sharing","Action,Adventure,Casual,Indie","Indie,Casual,Action,Adventure,Platformer,2D,Puzzle-Platformer",0.8214285714285714
842180,Prison Simulator,"Nov 4, 2021",19.99,1798,255,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Family Sharing","Action,Adventure,Casual,Indie,RPG,Simulation","RPG,Casual,Simulation,Crime,Action,Singleplayer,FPS,First-Person,Realistic,Sandbox,Atmospheric,Funny,Dark Comedy,Stealth,Open World,Story Rich,Inventory Management,Trading,Conversation,Combat",0.875791524598149
263740,FootLOL: Epic Soccer League,"Apr 16, 2014",9.99,902,179,"Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Family Sharing","Action,Indie,RPG,Sports","Sports,Indie,Action,Football (Soccer),RPG,Comedy,Fast-Paced,God Game,Replay Value,Multiplayer,Memes,Funny,Casual,Simulation,Singleplayer,Co-op,Online Co-Op,Top-Down,Atmospheric,Spectacle fighter",0.8344125809435707
566190,The Search,"Apr 13, 2017",1.19,918,337,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing","Adventure,Indie","Exploration,Hidden Object,Puzzle,Point & Click,Female Protagonist,First-Person,Surreal,Relaxing,Story Rich,Narration,Casual,Colorful,Philosophical,Mystery,Atmospheric,Short,Psychological,Adventure,Singleplayer,Escape Room",0.7314741035856573
274500,Brigador: Up-Armored Edition,"Jun 2, 2016",24.99,4954,325,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Includes level editor,Family Sharing","Action,Indie","Twin Stick Shooter,Action,Top-Down Shooter,Difficult,Mechs,Destruction,Sci-fi,Cyberpunk,Rogue-lite,Action Roguelike,Isometric,Vehicular Combat,Shooter,Top-Down,Indie,Dystopian,Atmospheric,Capitalism,Soundtrack,Robots",0.9384353097177496
922630,Mortal Royale,"Dec 17, 2018",0.0,100,150,"Multi-player,PvP,Online PvP","Action,Free To Play,Early Access","Free to Play,Nudity,Violent,Action,Gore,Early Access,Battle Royale,Multiplayer,Massively Multiplayer,First-Person,Fantasy,RPG,Dark Fantasy,PvP,Indie,Survival,FPS,Tactical,Difficult,Strategy",0.4
462780,Darksiders Warmastered Edition,"Nov 29, 2016",19.99,13050,1843,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Family Sharing","Action,Adventure,RPG","Action,Adventure,Hack and Slash,Third Person,RPG,Dark Fantasy,Singleplayer,Puzzle,Violent,Fantasy,Demons,Post-apocalyptic,Gore,Open World,Story Rich,Controller,Metroidvania,Remake,Difficult,Action RPG",0.8762505875243403
1845670,Islands of the Caliph,"Sep 29, 2023",7.99,184,20,"Single-player,Steam Achievements,Family Sharing","Action,Adventure,Indie,RPG","Grid-Based Movement,Old School,Dungeon Crawler,CRPG,3D,Open World,First-Person,1980s,RPG,Retro,Choices Matter,Mythology,Action,Exploration,Fantasy,Faith,Adventure,Action RPG,Singleplayer,Indie",0.9019607843137255
264340,Major Mayhem,"Feb 24, 2014",4.99,250,48,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Family Sharing","Action,Adventure,Casual,Indie","Action,Indie,Casual,On-Rails Shooter,Shooter,Adventure,Arcade,America",0.8389261744966443
512790,Quern - Undying Thoughts,"Nov 28, 2016",24.99,3087,283,"Single-player,Steam Achievements,Steam Trading Cards,Captions available,Partial Controller Support,Steam Cloud,Family Sharing",Adventure,"Adventure,Puzzle,Mystery,Atmospheric,Exploration,Walking Simulator,Singleplayer,First-Person,Story Rich,Narration,3D,Investigation,Soundtrack,Cinematic,Relaxing,Steampunk,Surreal,Drama,Point & Click,Open World",0.9160237388724035
